"Word"	"Frequency"
"bred"	2
"breed"	4
"breeder"	1
"breeders"	1
"breeding"	4
"breeds"	5
"brees"	2
"breeze"	1
"breezes"	4
"breezeway"	1
"breezy"	2
"brembo"	1
"brenda"	1
"brendan"	1
"brennan"	9
"brent"	5
"brentano"	1
"brentwood"	2
"brett"	8
"brew"	3
"brewers"	4
"brewing"	9
"breyer"	3
"brezina"	3
"brian"	42
"brianne"	1
"bribe"	4
"bribed"	1
"bribery"	3
"bribes"	5
"brick"	14
"bricks"	2
"bride"	3
"brides"	1
"bridezillas"	1
"bridge"	24
"bridged"	2
"bridges"	3
"bridging"	1
"brief"	22
"briefed"	7
"briefing"	7
"briefings"	1
"briefly"	21
"briefs"	3
"brien"	3
"brig"	5
"brigade"	5
"brigades"	1
"brigham"	1
"bright"	26
"brighter"	3
"brightest"	3
"brightly"	3
"brilliance"	1
"brilliant"	14
"brim"	2
"brimmed"	1
"brimming"	1
"brindley"	2
"bring"	93
"bringing"	19
"brings"	18
"brink"	12
"brisk"	6
"briskly"	2
"bristle"	1
"bristling"	1
"bristol"	6
"brit"	5
"britain"	41
"british"	79
"britney"	3
"briton"	1
"britons"	4
"britt"	7
"britton"	1
"broad"	24
"broadband"	5
"broadbeck"	5
"broadcast"	33
"broadcaster"	1
"broadcasters"	23
"broadcasting"	11
"broadcasts"	13
"broaden"	6
"broadened"	1
"broadening"	2
"broader"	25
"broadest"	1
"broadly"	6
"broadous"	50
"broads"	1
"broadwater"	1
"broadway"	27
"broccoli"	17
"brockton"	1
"broder"	2
"brodeur"	1
"brodney"	1
"broil"	1
"broiled"	1
"broiler"	4
"broilers"	1
"brokaw"	4
"broke"	36
"broken"	20
"broker"	12
"brokerage"	3
"brokered"	1
"brokers"	14
"bronchial"	2
"bronchodilators"	1
"bronco"	1
"broncos"	80
"bronx"	15
"bronze"	3
"bronzeville"	1
"brood"	1
"brooding"	2
"broodingly"	1
"brook"	17
"brookings"	4
"brookline"	1
"brooklyn"	29
"brooks"	8
"broom"	1
"broome"	1
"broomfield"	1
"bros"	1
"brosnan"	2
"broth"	4
"brothels"	1
"brother"	40
"brothers"	27
"brought"	102
"broughton"	8
"brow"	1
"broward"	3
"brown"	126
"brownback"	1
"browne"	4
"brownell"	1
"brownfield"	1
"brownies"	1
"browning"	7
"browns"	13
"brows"	1
"browse"	2
"browsed"	1
"browser"	7
"browses"	2
"broxton"	1
"bruce"	15
"bruckermann"	5
"bruen"	2
"bruin"	1
"bruins"	9
"bruise"	3
"bruised"	2
"bruises"	1
"bruising"	1
"brunch"	3
"brunner"	2
"bruno"	4
"brunt"	2
"bruntlett"	1
"brush"	4
"brushed"	1
"brushes"	4
"brussels"	1
"brutal"	4
"brutality"	1
"brutalize"	1
"brutally"	2
"brute"	1
"bryan"	4
"bryant"	18
"bryce"	1
"bryn"	1
"bryson"	1
"bu"	2
"bua"	1
"bubba"	4
"bubble"	17
"bubbled"	1
"bubbles"	6
"buccaneers"	9
"bucecu"	2
"buchanan"	4
"buchanon"	3
"buchholz"	2
"buck"	6
"buckel"	1
"bucket"	2
"buckets"	1
"buckeye"	2
"bucking"	1
"buckle"	1
"buckley"	3
"bucks"	8
"bucktown"	4
"buckwheat"	1
"bucs"	99
"bud"	1
"buddies"	3
"budding"	1
"buddy"	13
"budged"	2
"budget"	68
"budgeted"	1
"budgets"	38
"budging"	2
"budman"	1
"budweiser"	1
"buenos"	3
"buff"	1
"buffalo"	21
"buffer"	1
"buffered"	1
"buffet"	2
"buffeted"	3
"buffett"	10
"buffoonish"	1
"buffs"	1
"buffy"	2
"bug"	2
"buggy"	1
"bugs"	2
"buhner"	1
"buick"	1
"build"	48
"builder"	3
"builders"	1
"building"	101
"buildings"	31
"builds"	2
"buildup"	2
"built"	71
"bulb"	6
"bulbs"	18
"bulgaria"	3
"bulgarian"	2
"bulgarians"	1
"bulge"	3
"bulged"	1
"bulges"	2
"bulging"	1
"bulgogi"	1
"bulk"	10
"bulked"	1
"bulkie"	1
"bull"	4
"bulldog"	1
"bulldogs"	12
"bullet"	3
"bullets"	6
"bullied"	1
"bullies"	2
"bullish"	3
"bullitt"	1
"bullpen"	6
"bulls"	18
"bulluck"	1
"bully"	2
"bullying"	2
"bum"	1
"buma"	1
"bumbled"	2
"bumbling"	1
"bumiller"	3
"bump"	2
"bumped"	4
"bumper"	3
"bumpier"	1
"bumps"	7
"bumptious"	1
"bun"	1
"bunch"	21
"bunched"	1
"bundesliga"	1
"bundle"	3
"bundled"	1
"bundles"	2
"bundling"	3
"buner"	20
"bungalow"	1
"bungee"	2
"bungles"	1
"bunker"	3
"bunkley"	2
"buono"	1
"buoyed"	4
"burden"	15
"burdened"	1
"burdens"	5
"bure"	1
"bureau"	15
"bureaucracy"	5
"bureaucratic"	5
"bureaucrats"	5
"bureaus"	1
"burg"	1
"burger"	3
"burgers"	3
"burial"	6
"buried"	6
"burien"	1
"burke"	6
"burlesque"	1
"burlington"	2
"burly"	2
"burn"	16
"burned"	18
"burner"	3
"burnett"	5
"burning"	11
"burnished"	1
"burnout"	1
"burns"	3
"burping"	1
"burr"	1
"burrell"	1
"burress"	12
"burritos"	1
"bursa"	1
"burst"	5
"bursting"	3
"bursts"	6
"burt"	2
"burton"	2
"burying"	1
"bus"	22
"busboys"	1
"busch"	2
"buses"	9
"bush"	256
"bushel"	1
"bushels"	1
"bushes"	4
"bushies"	3
"bushwick"	4
"busiest"	2
"business"	232
"businesses"	59
"businessman"	17
"businessmen"	3
"businesspeople"	4
"businesswoman"	2
"busisi"	1
"busloads"	1
"bust"	5
"busted"	2
"buster"	1
"busting"	2
"bustling"	6
"busts"	2
"busy"	13
"but"	2563
"butch"	2
"butcher"	2
"butler"	5
"buts"	2
"butt"	5
"butte"	1
"butter"	9
"butterflies"	2
"butterfly"	3
"buttermilk"	2
"butterscotch"	2
"buttocks"	1
"button"	7
"buttons"	4
"butts"	2
"buy"	100
"buyback"	2
"buyer"	11
"buyers"	20
"buying"	23
"buyout"	17
"buys"	5
"buzz"	11
"buzzer"	1
"buzzing"	1
"buzzkill"	1
"by"	2364
"bye"	22
"bygone"	2
"bynum"	2
"bypass"	1
"bypassed"	1
"bypassing"	1
"byproduct"	3
"byrnes"	3
"byron"	3
"bystander"	2
"bystanders"	6
"c"	113
"c111"	1
"c3"	4
"c4"	1
"ca"	1
"cab"	1
"cabana"	3
"cabanas"	3
"cabbage"	2
"cabernet"	1
"cabin"	7
"cabinet"	12
"cabins"	4
"cable"	47
"cablevision"	1
"cabrera"	5
"cac"	2
"cacao"	17
"cacaos"	1
"cache"	1
"caches"	1
"cachet"	1
"cacophony"	1
"cactus"	1
"cadagin"	4
"caddie"	2
"caddies"	1
"caddy"	1
"cadet"	1
"cadets"	1
"cadge"	1
"cadging"	1
"cadillac"	9
"caesar"	6
"caesarean"	2
"cafardo"	4
"cafe"	2
"cafepress"	1
"cafes"	2
"cafeteria"	7
"cage"	2
"cahalane"	13
"cahalanes"	1
"cahiers"	1
"cain"	1
"caipirinhas"	2
"cairo"	2
"cajoled"	1
"cajun"	2
"cake"	6
"cal"	1
"calabasas"	3
"calamari"	2
"calamities"	2
"calamitous"	1
"calamity"	1
"calcified"	1
"calculated"	3
"calculates"	2
"calculation"	1
"calculations"	3
"calculator"	1
"calculus"	2
"caldecott"	2
"calderon"	11
"caldo"	1
"caldwell"	1
"cale"	1
"caleb"	3
"calendar"	3
"calf"	2
"calgary"	1
"calhoun"	1
"caliber"	3
"calibrated"	1
"calif"	32
"california"	114
"californian"	1
"californians"	4
"calipers"	1
"call"	157
"called"	272
"callen"	1
"caller"	4
"callers"	2
"calling"	52
"calloused"	1
"calloway"	1
"calls"	109
"calm"	8
"calmed"	1
"calming"	2
"calmly"	3
"calmness"	1
"calorie"	1
"calories"	1
"calpirg"	1
"calusas"	2
"calvary"	6
"calvert"	2
"calvin"	3
"calzone"	1
"cam"	1
"camaraderie"	4
"camarillo"	12
"camaro"	14
"cambodia"	6
"cambodian"	21
"cambodians"	2
"cambridge"	6
"camby"	4
"camden"	2
"came"	228
"camel"	2
"camelback"	2
"camera"	19
"cameras"	4
"camerawork"	1
"cameron"	9
"cameroon"	1
"camille"	1
"camino"	1
"camp"	31
"campaign"	598
"campaigned"	14
"campaigner"	1
"campaignin"	1
"campaigning"	34
"campaigns"	75
"campbell"	12
"camped"	4
"campos"	3
"camps"	10
"campus"	37
"campuses"	8
"can"	973
"canaan"	1
"canada"	16
"canadian"	13
"canal"	9
"canals"	1
"canard"	1
"canary"	2
"canby"	1
"cancel"	5
"canceled"	8
"cancellation"	3
"cancer"	32
"cancerous"	2
"cancun"	5
"candace"	1
"candid"	2
"candidacies"	2
"candidacy"	18
"candidate"	124
"candidates"	136
"candies"	1
"candle"	1
"candles"	2
"candlewick"	1
"candy"	6
"cane"	2
"canellos"	2
"canes"	1
"canned"	6
"cannes"	1
"cannon"	1
"cannot"	74
"cano"	1
"canoe"	4
"canoga"	3
"canon"	2
"canopy"	3
"cans"	3
"canseco"	1
"cantata"	1
"canteens"	1
"canter"	1
"cantillation"	1
"canto"	2
"canton"	6
"canvas"	5
"canvass"	1
"canvassed"	1
"canvassers"	3
"canvassing"	5
"canyon"	2
"canyons"	4
"cap"	12
"capabilities"	4
"capable"	17
"capacious"	1
"capacity"	21
"cape"	9
"capita"	1
"capital"	103
"capitalism"	1
"capitalist"	1
"capitalization"	1
"capitalize"	6
"capitalized"	1
"capitals"	3
"capitol"	16
"capitulate"	2
"capped"	5
"capping"	2
"capricious"	4
"caps"	4
"capstone"	1
"capsule"	4
"capsules"	1
"capt"	2
"captain"	18
"captains"	3
"caption"	2
"captioned"	1
"captiva"	2
"captivate"	1
"captivated"	1
"captive"	1
"captives"	2
"capture"	11
"captured"	15
"captures"	1
"capturing"	4
"car"	90
"caracas"	1
"caramanica"	1
"caramel"	1
"caramelized"	2
"carats"	1
"caravan"	8
"caravutto"	1
"carbohydrates"	1
"carbon"	8
"carbonates"	2
"carbondale"	1
"carcasses"	2
"carcieri"	1
"card"	27
"cardigan"	1
"cardinals"	10
"cardiopulmonary"	1
"cardiorespiratory"	1
"cardozo"	1
"cards"	24
"care"	110
"cared"	9
"career"	105
"careers"	6
"careful"	8
"carefully"	7
"caregiver"	1
"carelessly"	3
"carell"	1
"cares"	14
"caretaker"	2
"caretakers"	1
"carey"	8
"cargo"	9
"caribbean"	2
"caribou"	1
"caricature"	2
"caring"	2
"carl"	16
"carla"	1
"carle"	2
"carlike"	1
"carlin"	3
"carling"	1
"carlisle"	1
"carlos"	15
"carlson"	2
"carlyle"	2
"carmaker"	1
"carmakers"	2
"carmelo"	3
"carmen"	1
"carnage"	2
"carnase"	1
"carnegie"	3
"carnell"	1
"carnes"	1
"carnival"	3
"carol"	6
"carole"	1
"carolina"	81
"carolinas"	2
"caroline"	6
"carolyn"	8
"carolynoneil"	1
"carona"	1
"carpathians"	1
"carpenter"	6
"carpet"	5
"carpeting"	1
"carpets"	1
"carr"	3
"carriage"	1
"carrie"	1
"carried"	45
"carrier"	5
"carriers"	3
"carries"	32
"carroll"	6
"carrots"	6
"carry"	46
"carrying"	19
"carryover"	1
"cars"	55
"carson"	1
"cart"	5
"carted"	1
"cartel"	6
"carter"	25
"cartesian"	1
"cartoon"	4
"cartoonish"	3
"cartoonist"	1
"cartoons"	3
"cartridges"	2
"carts"	1
"carve"	4
"carved"	8
"carville"	3
"carving"	3
"cary"	1
"caryn"	1
"casablanca"	1
"casale"	1
"cascade"	2
"cascades"	1
"case"	192
"cases"	61
"casey"	7
"cash"	83
"cashed"	2
"cashier"	1
"cashman"	7
"casings"	2
"casino"	7
"casinos"	4
"casket"	1
"caskets"	1
"caskey"	9
"caspar"	1
"cassandra"	1
"cassava"	1
"cassel"	29
"cassell"	1
"casselman"	2
"cassette"	1
"cassidy"	5
"cast"	91
"castaic"	1
"castellanos"	1
"castigate"	2
"castillo"	4
"casting"	10
"castle"	1
"castles"	1
"castoff"	2
"castor"	1
"castro"	3
"castrodailynews"	1
"casts"	7
"casual"	6
"casually"	3
"casualties"	5
"casualty"	4
"cat"	7
"cataloch"	1
"catalog"	2
"cataloging"	1
"catalogs"	2
"catalyst"	3
"catalysts"	1
"catalyze"	1
"catalyzing"	1
"catapulting"	1
"catastrophe"	1
"catastrophic"	4
"catcalls"	1
"catch"	46
"catchable"	2
"catcher"	4
"catchers"	1
"catches"	23
"catching"	9
"cate"	2
"categorically"	2
"categories"	6
"categorize"	1
"categorized"	1
"category"	20
"catered"	1
"catering"	3
"cathartic"	1
"catherine"	12
"cathleen"	1
"catholic"	26
"catholicism"	2
"catholics"	15
"cathy"	2
"catlin"	1
"cato"	1
"cats"	2
"catskills"	1
"cattle"	2
"catwalk"	1
"caucus"	11
"caucuses"	3
"caught"	37
"cause"	42
"caused"	33
"causes"	10
"causeway"	3
"causing"	11
"caution"	7
"cautionary"	1
"cautioned"	4
"cautioning"	1
"cautions"	1
"cautious"	9
"cautiously"	4
"cavaliers"	4
"cave"	4
"caveats"	2
"cavemen"	1
"cavern"	1
"cavernous"	4
"caves"	2
"caviar"	2
"cavorting"	1
"cavuto"	1
"cawley"	1
"cazorla"	1
"cb"	5
"cbancroftsptimes"	1
"cbs"	76
"cbsnews"	2
"cc"	3
"cd"	2
"cdo"	3
"cdos"	7
"cds"	5
"cease"	5
"ceased"	1
"ceases"	1
"cecil"	1
"cecilia"	4
"cedar"	4
"cedarville"	2
"cede"	1
"ceding"	1
"cedric"	3
"ceiling"	7
"ceilings"	1
"celebrate"	15
"celebrated"	14
"celebrates"	1
"celebrating"	14
"celebration"	26
"celebrations"	1
"celebratory"	1
"celebrities"	6
"celebrity"	15
"celeste"	1
"celestial"	1
"celia"	1
"cell"	22
"cellmates"	1
"cello"	9
"cellos"	1
"cellpadding"	1
"cellphone"	3
"cellphones"	2
"cells"	6
"cellspacing"	1
"cellulose"	1
"cellulosic"	2
"celtic"	1
"celtics"	19
"cement"	4
"cemented"	4
"cemetery"	1
"ceni"	1
"cenote"	3
"cenotes"	2
"censor"	2
"censored"	2
"censorship"	6
"census"	4
"cent"	3
"centcom"	7
"center"	177
"centered"	4
"centerfield"	1
"centerpiece"	3
"centerpieces"	1
"centers"	18
"central"	83
"centralized"	1
"centre"	1
"centric"	1
"centrifugal"	1
"centrist"	2
"cents"	32
"centuries"	16
"century"	80
"ceo"	10
"ceos"	2
"cepero"	14
"ceragno"	2
"ceramics"	1
"cerberus"	6
"cereal"	1
"cerebral"	3
"ceremonial"	4
"ceremonies"	10
"ceremony"	15
"cerrito"	1
"certain"	74
"certainly"	57
"certainty"	5
"certificate"	4
"certificates"	2
"certification"	4
"certifications"	1
"certified"	5
"certify"	1
"cesar"	2
"ceviche"	2
"cforsberg"	1
"cgasper"	3
"ch"	11
"cha"	2
"chabat"	1
"chabi"	1
"chace"	2
"chad"	5
"chads"	2
"chain"	17
"chains"	4
"chair"	19
"chaired"	2
"chairman"	77
"chairmanship"	1
"chairmen"	2
"chairs"	7
"chairwoman"	4
"chalked"	3
"challenge"	59
"challenged"	19
"challenger"	11
"challengers"	2
"challenges"	30
"challenging"	20
"chamber"	17
"chambered"	1
"chamberlain"	6
"chambers"	9
"chambliss"	6
"champ"	1
"champagne"	2
"champion"	20
"championed"	3
"championing"	2
"champions"	10
"championship"	62
"championships"	22
"champs"	1
"chan"	4
"chance"	143
"chancellor"	11
"chancellors"	1
"chances"	47
"chandelier"	1
"chandeliers"	4
"chandler"	2
"chandra"	1
"chanel"	5
"chang"	2
"change"	160
"changed"	66
"changer"	1
"changers"	2
"changes"	50
"changin"	1
"changing"	28
"channel"	43
"channeling"	2
"channels"	19
"chant"	5
"chanted"	3
"chanting"	3
"chants"	3
"chaos"	10
"chaotic"	2
"chapel"	5
"chapin"	1
"chapman"	1
"chapped"	1
"chaps"	1
"chapter"	22
"chapters"	3
"chaput"	7
"character"	43
"characteristic"	2
"characteristics"	1
"characterization"	2
"characterizations"	1
"characterize"	1
"characterized"	5
"characterizes"	1
"characters"	26
"charade"	3
"charbonnet"	1
"charcoal"	1
"chardin"	1
"charge"	30
"charged"	16
"chargers"	18
"charges"	46
"charging"	5
"charisma"	4
"charismatic"	8
"charitable"	4
"charities"	4
"charity"	9
"charles"	23
"charlie"	26
"charlotte"	16
"charlottesville"	3
"charlton"	1
"charm"	4
"charming"	2
"charms"	2
"charney"	2
"chart"	6
"charted"	2
"charter"	11
"chartered"	5
"charting"	1
"charts"	2
"chasanoff"	1
"chase"	17
"chased"	4
"chaser"	1
"chasing"	1
"chasse"	2
"chassis"	1
"chaste"	1
"chastity"	1
"chat"	5
"chateau"	4
"chatfield"	2
"chats"	2
"chatsworth"	1
"chattahoochee"	1
"chattanooga"	1
"chattanoogan"	1
"chatted"	1
"chatter"	1
"chatters"	1
"chatting"	1
"chauffeur"	1
"chauncey"	13
"chavez"	23
"chaz"	1
"che"	1
"chea"	1
"cheam"	1
"cheap"	17
"cheaper"	9
"cheaply"	2
"cheat"	2
"cheated"	1
"cheatin"	1
"cheating"	1
"check"	61
"checked"	10
"checkered"	2
"checkers"	3
"checking"	17
"checklist"	3
"checkmate"	1
"checkout"	1
"checkpoint"	2
"checks"	23
"checkups"	1
"chee"	6
"cheek"	5
"cheekbone"	1
"cheekily"	1
"cheeks"	3
"cheer"	10
"cheered"	6
"cheerful"	2
"cheerfully"	1
"cheerfulness"	1
"cheering"	2
"cheerleader"	2
"cheerleaders"	3
"cheers"	8
"cheese"	9
"cheesecloth"	1
"cheesy"	1
"chef"	14
"chefs"	9
"cheikh"	5
"chelios"	1
"chemical"	6
"chemicals"	5
"chemistry"	5
"chemotaxis"	2
"chemotherapy"	3
"chen"	30
"cheney"	15
"cheneys"	1
"cheng"	1
"chepchumba"	1
"chepkemei"	1
"cher"	4
"chernin"	2
"cherny"	1
"cherry"	1
"cheruiyot"	1
"chesbrough"	2
"chess"	7
"chest"	10
"chester"	2
"chests"	2
"chet"	1
"chevrolet"	6
"chevron"	2
"chewing"	1
"cheyenne"	12
"cheyenneness"	1
"chez"	1
"chi"	1
"chiang"	5
"chiasson"	4
"chic"	1
"chicago"	90
"chicagoans"	4
"chicagoness"	1
"chick"	3
"chicken"	22
"chickens"	3
"chicks"	2
"chief"	151
"chiefly"	2
"chiefs"	48
"chieftain"	1
"chien"	1
"chiffon"	1
"chihuahua"	1
"chilavert"	2
"child"	63
"childbirth"	1
"childhood"	9
"childlike"	1
"children"	205
"chile"	3
"chili"	1
"chill"	4
"chilled"	3
"chillicothe"	3
"chilliness"	1
"chilling"	5
"chillingly"	1
"chilly"	8
"chimed"	1
"chimpanzees"	2
"chimps"	1
"chin"	2
"china"	71
"chinen"	1
"chinese"	39
"chinle"	1
"chinstrap"	1
"chip"	4
"chippendales"	1
"chipper"	2
"chipping"	1
"chips"	10
"chirac"	1
"chirpily"	1
"chirundu"	1
"chittick"	6
"chitty"	2
"chivas"	2
"chng"	1
"chocolate"	32
"choice"	59
"choices"	28
"choir"	1
"choirs"	2
"choke"	1
"choked"	3
"chokes"	1
"choking"	2
"cholesterol"	7
"choose"	25
"chooses"	1
"choosing"	14
"chop"	2
"chopped"	14
"choppy"	2
"chops"	3
"choral"	2
"chords"	1
"chore"	1
"chores"	3
"chorizo"	2
"chorus"	3
"choruses"	1
"chose"	23
"chosen"	13
"chosin"	1
"chow"	1
"chris"	48
"chrissie"	1
"chrissy"	1
"christ"	4
"christened"	2
"christenson"	2
"christian"	22
"christianity"	7
"christians"	15
"christie"	4
"christina"	4
"christine"	7
"christmas"	20
"christmastime"	1
"christoph"	1
"christopher"	17
"chroman"	1
"chromosome"	2
"chromosomes"	1
"chronic"	9
"chronicle"	9
"chronicled"	2
"chronicler"	1
"chronicles"	3
"chronicling"	1
"chronological"	1
"chrysler"	51
"chuang"	1
"chuck"	14
"chuckle"	1
"chucky"	1
"chug"	1
"chugtai"	2
"chunk"	10
"chunks"	1
"church"	72
"churches"	11
"churned"	1
"churning"	2
"churns"	1
"chutes"	1
"cia"	6
"ciaravino"	1
"cic"	1
"cichocki"	1
"cigarette"	5
"cigarettes"	4
"cigarillo"	1
"cinched"	1
"cincinnati"	12
"cincy"	1
"cinderella"	3
"cindi"	1
"cindy"	11
"cinema"	9
"cinephiles"	1
"cinnamon"	2
"cio"	2
"ciphers"	1
"circle"	10
"circled"	1
"circles"	4
"circling"	2
"circuit"	14
"circuited"	1
"circulated"	1
"circulating"	1
"circulation"	10
"circulatory"	1
"circumnavigate"	1
"circumstance"	1
"circumstances"	16
"circumstantial"	1
"circumvent"	1
"circus"	5
"ciruli"	1
"cisco"	2
"citation"	2
"citations"	2
"cite"	4
"cited"	19
"citibank"	2
"cities"	50
"citigroup"	4
"citing"	17
"citizen"	16
"citizenry"	2
"citizens"	74
"citizenship"	3
"citrine"	1
"citroen"	2
"citron"	2
"citrus"	1
"city"	367
"citywide"	1
"civic"	15
"civil"	54
"civilian"	15
"civilians"	8
"civility"	2
"civilization"	3
"civilized"	6
"cjohnson"	1
"clad"	2
"claim"	21
"claimed"	21
"claiming"	4
"claims"	29
"claire"	7
"clam"	1
"clamber"	1
"clamoring"	1
"clandestine"	3
"clanging"	1
"clans"	2
"clap"	1
"clapp"	2
"clapping"	1
"claptrap"	1
"clara"	1
"clare"	1
"clarence"	3
"clarified"	1
"clarifies"	2
"clarify"	2
"clarin"	1
"clarita"	3
"clarity"	4
"clark"	19
"clarvit"	3
"clash"	4
"clashed"	3
"clashes"	1
"clashing"	1
"class"	98
"classes"	16
"classic"	13
"classical"	8
"classically"	1
"classics"	4
"classified"	3
"classify"	1
"classist"	1
"classmate"	3
"classmates"	2
"classroom"	10
"classrooms"	3
"classy"	1
"clatter"	1
"claudia"	1
"claus"	2
"clause"	6
"claustrophobic"	1
"clavier"	1
"claw"	3
"clawbacks"	2
"clawing"	1
"clay"	5
"claylike"	1
"claymation"	1
"clays"	1
"clayton"	2
"clean"	47
"cleaned"	4
"cleaner"	2
"cleaners"	1
"cleanest"	2
"cleaning"	10
"cleanliness"	1
"cleans"	2
"cleansed"	1
"cleansers"	1
"cleansing"	2
"cleantech"	1
"cleanup"	2
"clear"	98
"cleared"	10
"clearer"	3
"clearing"	3
"clearly"	36
"clears"	1
"clearwater"	2
"cleats"	2
"cleavage"	1
"cleaved"	1
"cleft"	1
"clemens"	8
"clement"	2
"clemson"	16
"clemson27bc21"	1
"clendenin"	2
"clendening"	2
"clergy"	3
"clerics"	1
"clerk"	9
"clerks"	7
"cleve"	1
"cleveland"	43
"clever"	3
"cleverly"	2
"clich"	1
"cliche"	3
"cliches"	3
"clichy"	1
"click"	6
"clicking"	1
"client"	22
"cliente"	1
"clientele"	1
"clients"	44
"cliff"	8
"cliffhanger"	1
"cliffhangers"	1
"clifford"	1
"clifton"	15
"clijsters"	1
"climactic"	2
"climate"	21
"climatologists"	1
"climax"	5
"climaxes"	1
"climb"	2
"climbed"	15
"climbing"	8
"climbs"	1
"clinch"	6
"clincher"	1
"clinching"	2
"cling"	2
"clinging"	3
"clings"	1
"clinic"	10
"clinical"	9
"clinicians"	1
"clinics"	1
"clint"	1
"clinton"	153
"clintons"	5
"clio"	2
"clip"	6
"clippers"	1
"clippings"	1
"clips"	2
"cloakroom"	1
"clock"	25
"clocked"	1
"clocks"	1
"clogging"	1
"clogs"	1
"clone"	1
"clones"	1
"cloning"	1
"clooney"	2
"close"	192
"closed"	54
"closely"	24
"closeness"	2
"closer"	54
"closes"	5
"closest"	11
"closet"	2
"closets"	2
"closeup"	2
"closing"	42
"closings"	2
"closure"	6
"cloth"	7
"clothed"	1
"clothes"	13
"clothing"	16
"cloud"	2
"clouds"	5
"cloudy"	2
"clout"	3
"clovers"	1
"cloves"	3
"clown"	2
"clowning"	1
"clowns"	2
"club"	47
"clubbing"	1
"clubhouse"	4
"clubs"	9
"clue"	3
"clues"	6
"clump"	2
"clumsy"	1
"cluster"	4
"clustered"	6
"clustering"	1
"clutch"	3
"clutched"	2
"clutching"	1
"clutter"	1
"cluttered"	1
"clyfford"	1
"cmdr"	2
"cnbc"	3
"cndp"	2
"cnet"	1
"cnn"	34
"co"	75
"co2"	2
"coach"	182
"coachbuilder"	1
"coached"	5
"coaches"	39
"coaching"	10
"coagulate"	1
"coagulated"	1
"coal"	8
"coalition"	19
"coalitions"	5
"coals"	2
"coarsely"	3
"coarsening"	1
"coast"	43
"coastal"	6
"coaster"	3
"coasting"	3
"coat"	7
"coated"	2
"coates"	3
"coating"	2
"coats"	3
"coauthors"	1
"coax"	1
"coaxing"	2
"coba"	5
"cobalt"	1
"cobble"	1
"cobbled"	1
"cobblestone"	1
"cobbling"	1
"cocaine"	2
"cocaptain"	1
"cochran"	5
"cocked"	2
"cockiness"	1
"cockpit"	3
"cocktail"	9
"cocktails"	1
"coco"	1
"cocoa"	1
"coconut"	1
"cocoonclub"	1
"cocooned"	1
"cocteau"	1
"code"	13
"coded"	2
"codes"	5
"codified"	1
"codis"	1
"coe"	1
"coen"	8
"coerce"	2
"coercive"	1
"coetzee"	3
"coexisted"	1
"coffee"	30
"coffers"	1
"coffeyville"	1
"coffin"	7
"cofounder"	2
"cognitive"	1
"cognitively"	1
"cognoscenti"	3
"cohen"	4
"coherent"	1
"cohesion"	1
"cohesive"	1
"cohesiveness"	1
"cohort"	3
"coils"	2
"coin"	10
"coincide"	2
"coincided"	1
"coincidence"	2
"coincidental"	2
"coincidentally"	2
"coincides"	1
"coins"	1
"cointreau"	2
"coke"	3
"coker"	4
"cokesbury"	1
"col"	11
"colbert"	4
"cold"	41
"colder"	1
"coldest"	1
"coldwell"	2
"cole"	12
"coleman"	8
"coleslaw"	1
"colette"	1
"colgate"	3
"coli"	1
"colin"	9
"collaborate"	3
"collaborated"	5
"collaborating"	2
"collaboration"	6
"collaborative"	2
"collaborator"	1
"collaborators"	2
"colladay"	1
"collage"	1
"collapse"	26
"collapsed"	6
"collapses"	1
"collapsing"	3
"collar"	10
"collarbone"	1
"collateral"	4
"collateralized"	1
"colleague"	4
"colleagues"	20
"collect"	4
"collected"	8
"collectible"	3
"collectibles"	1
"collecting"	3
"collection"	28
"collections"	4
"collective"	15
"collectives"	1
"collector"	2
"collectors"	5
"collects"	2
"collectsaw"	1
"colledge"	1
"college"	171
"colleges"	21
"collegian"	1
"collegiate"	1
"colley"	1
"collide"	1
"collided"	1
"collins"	15
"collision"	5
"collisions"	1
"colluded"	1
"collusion"	4
"colmes"	1
"colo"	20
"colombia"	18
"colombian"	9
"colombo"	1
"colon"	10
"colonel"	14
"colonial"	3
"colonies"	1
"colonists"	1
"colonography"	1
"colonoscopies"	2
"colonoscopy"	12
"colony"	1
"color"	30
"coloradans"	1
"colorado"	126
"coloradoans"	1
"coloratura"	2
"colorectal"	1
"colored"	12
"colorful"	9
"colorings"	1
"colorist"	1
"colors"	10
"colossal"	2
"colquitt"	1
"colspan"	1
"colt"	5
"coltrane"	1
"colts"	87
"colucci"	1
"coluche"	2
"columbia"	21
"columbus"	21
"column"	20
"columnist"	27
"columnists"	4
"columns"	6
"com"	298
"comb"	1
"combat"	26
"combatant"	1
"combatants"	7
"combative"	4
"combination"	14
"combinations"	1
"combine"	14
"combined"	28
"combines"	3
"combining"	1
"combo"	1
"combs"	1
"combustible"	1
"combustion"	4
"comcast"	2
"come"	272
"comeback"	14
"comebacks"	4
"comedian"	11
"comedic"	1
"comedies"	4
"comedy"	21
"comerica"	1
"comes"	101
"comet"	1
"comets"	1
"comfort"	4
"comfortable"	33
"comfortably"	4
"comforting"	5
"comforts"	1
"comfy"	1
"comic"	8
"comics"	5
"coming"	130
"command"	15
"commandant"	3
"commandants"	1
"commanded"	2
"commandeering"	1
"commander"	32
"commanders"	8
"commanding"	7
"commando"	1
"commands"	3
